,KG1a_Ctrl_Nonresponsive_116,KG1a_T0_Nonresponsive_117,KG1a_LGT_Nonresponsive_118,KG1a_SYT_Nonresponsive_119,KG1a_ComboT_Nonresponsive_120
POLR2J_ENSG00000005075.15,1863.313116,1461.511143,1419.701317,1613.560824,1758.760372
DHX33_ENSG00000005100.13,2720.194636,2497.169763,1708.853036,2463.7529,2222.609262
THSD7A_ENSG00000005108.16,2.020946981,5.518607211,9.246130546,7.893029885,4.685342317
LIG3_ENSG00000005156.12,6960.141402,6445.733222,4787.814508,6237.748761,5570.872015
RPAP3_ENSG00000005175.10,2561.550298,2243.313831,2468.716856,2628.378952,2527.74218
ACSM3_ENSG00000005187.12,470.8806466,389.0618084,458.1037407,448.7751278,387.7120767
REXO5_ENSG00000005189.20,2720.194636,2217.560331,1607.1456,1724.063242,1715.420956
CIAPIN1_ENSG00000005194.15,4992.749516,4096.646086,3585.817537,4585.850363,4250.191149
SPPL2B_ENSG00000005206.17,8312.154933,8328.498049,5213.136513,5573.606675,4554.152732
FAM214B_ENSG00000005238.20,511.2995862,455.2850949,461.46597,705.8623869,914.8130874
PRKAR2B_ENSG00000005249.13,169.7595464,126.9279658,100.8668787,163.4984762,157.5446354
MSL3_ENSG00000005302.19,2532.246567,2433.70578,2233.360806,2497.580171,2593.336972
CREBBP_ENSG00000005339.15,11284.96794,11468.58555,7974.367317,10336.48642,11199.13947
TSPOAP1_ENSG00000005379.17,1803.69518,2169.732402,1549.987702,1462.46568,1453.627454
MPO_ENSG00000005381.8,68.71219735,52.4267685,36.14396486,52.9960578,25.76938274
GCFC2_ENSG00000005436.14,2585.801662,2229.517313,2196.376283,2744.519249,2434.621001
WDR54_ENSG00000005448.17,1398.495311,980.4725478,810.2972588,1035.114491,1336.493896
CROT_ENSG00000005469.12,890.2271451,771.6852416,743.052673,853.5748033,755.5114486
KMT2E_ENSG00000005483.21,5304.985825,5285.90594,4502.865576,5387.556684,5437.339759
RHBDD2_ENSG00000005486.17,1240.861446,1061.41212,773.3127366,1001.28722,1125.067824
IBTK_ENSG00000005700.15,6948.01572,6302.249435,6153.720157,7729.531409,7479.563341
ZNF195_ENSG00000005801.18,2858.629505,2980.967662,3119.308223,2900.124695,2557.611237
MYCBP2_ENSG00000005810.18,33100.08013,32346.3964,23393.55084,30531.36717,27377.04082
